Name,PD
-t7_48,"V[0,1,2],V[3,4,5],X[6,7,4,8],X[9,10,11,12],X[13,14,7,15],X[12,16,1,17],X[15,18,19,13],X[19,2,16,20],X[17,0,18,6],X[20,11,5,14],X[8,3,10,9]"
+t7_49,"V[0,1,2],V[3,1,4],X[2,5,6,7],X[5,3,8,6],X[4,9,10,11],X[12,13,11,10],X[13,14,15,8],X[14,12,16,15],X[9,0,7,16]"
-t7_49,"V[0,1,2],V[3,1,4],X[5,2,6,7],X[7,6,3,8],X[9,4,10,11],X[11,12,13,9],X[8,13,14,15],X[15,14,12,16],X[16,10,0,5]"
+t7_50,"V[0,1,2],V[3,2,4],X[5,6,7,8],X[1,9,10,4],X[9,8,11,10],X[6,12,13,14],X[12,5,0,13],X[15,7,14,16],X[16,17,18,15],X[11,18,17,3]"
-t7_50,"V[0,1,2],V[3,2,4],X[5,6,7,8],X[4,1,9,10],X[10,9,5,11],X[12,7,13,14],X[14,13,6,0],X[8,12,15,16],X[17,18,16,15],X[18,17,3,11]"
+t7_53,"V[0,1,2],V[3,4,1],X[4,5,6,7],X[8,9,7,10],X[9,8,11,2],X[5,12,13,14],X[15,6,14,16],X[16,11,10,15],X[12,3,0,13]"
-t7_53,"V[0,1,2],V[3,4,1],X[5,4,6,7],X[8,9,10,5],X[2,10,9,11],X[12,6,13,14],X[7,12,15,16],X[11,8,16,15],X[14,13,3,0]"
+t7_54,"V[0,1,2],V[3,4,5],X[6,7,8,9],X[10,11,12,1],X[11,10,13,5],X[7,14,15,16],X[4,9,2,12],X[17,8,16,18],X[18,13,0,17],X[14,6,3,15]"
-t7_54,"V[0,1,2],V[3,4,5],X[6,7,8,9],X[1,10,11,12],X[5,11,10,13],X[14,8,15,16],X[12,4,6,2],X[9,14,17,18],X[13,0,18,17],X[16,15,7,3]"
+t7_55,"V[0,1,2],V[1,3,4],X[5,6,7,8],X[9,10,11,4],X[8,11,10,5],X[12,13,14,3],X[13,15,9,14],X[16,17,12,0],X[18,16,2,7],X[17,18,6,15]"
-t7_55,"V[0,1,2],V[1,3,4],X[5,6,7,8],X[9,10,4,11],X[10,9,8,7],X[3,12,13,14],X[14,13,15,11],X[0,16,17,12],X[6,18,16,2],X[15,17,18,5]"
+t7_56,"V[0,1,2],V[1,3,4],X[5,6,4,7],X[6,5,8,2],X[9,10,11,3],X[10,12,13,14],X[12,9,0,13],X[15,11,14,16],X[16,8,7,15]"
-t7_56,"V[0,1,2],V[1,3,4],X[5,6,7,4],X[2,7,6,8],X[3,9,10,11],X[12,10,13,14],X[14,13,9,0],X[11,12,15,16],X[8,5,16,15]"
+t7_57,"V[0,1,2],V[3,2,4],X[5,6,4,1],X[6,7,8,9],X[7,5,10,8],X[11,3,9,12],X[12,13,14,11],X[15,16,13,10],X[16,15,0,14]"
-t7_57,"V[0,1,2],V[3,2,4],X[1,5,6,4],X[7,6,8,9],X[9,8,5,10],X[3,7,11,12],X[13,14,12,11],X[10,15,16,13],X[14,16,15,0]"
-t7_59,"V[0,1,2],V[3,0,4],X[5,6,7,8],X[8,4,9,5],X[10,11,2,12],X[13,10,14,7],X[15,1,3,16],X[16,14,12,15],X[11,13,6,9]"
