name,native notation,symmetry
10_50,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 d0 a3 a2) d=X(c1 f0 g3 b0) e=X(b1 h0 i3 c0) f=X(d1 i2 i1 g0) g=X(f3 j0 j3 d2) h=X(e1 j2 j1 i0) i=X(h3 f2 f1 e2) j=X(g1 h2 h1 g2) ['name'='10_50'],reversible
10_51,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 d1 a2) d=X(b1 c2 f3 g0) e=X(h3 i0 c1 b2) f=X(i3 i2 j3 d2) g=X(d3 j2 j1 h0) h=X(g3 j0 i1 e0) i=X(e1 h2 f1 f0) j=X(h1 g2 g1 f2) ['name'='10_51'],reversible
10_52,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 f3 a2) d=X(b1 g0 h3 e0) e=X(d3 i0 c1 b2) f=X(i3 g2 g1 c2) g=X(d1 f2 f1 h0) h=X(g3 j0 j3 d2) i=X(e1 j2 j1 f0) j=X(h1 i2 i1 h2) ['name'='10_52'],reversible
10_53,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 f0 a3 a2) d=X(g3 g2 h3 b0) e=X(b1 i0 f1 c0) f=X(c1 e2 j3 g0) g=X(f3 j2 d1 d0) h=X(j1 i2 i1 d2) i=X(e1 h2 h1 j0) j=X(i3 h0 g1 f2) ['name'='10_53'],reversible
10_54,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(f3 g0 a3 a2) d=X(g3 g2 e1 b0) e=X(b1 d2 h3 h2) f=X(i3 j0 g1 c0) g=X(c1 f2 d1 d0) h=X(j3 i0 e3 e2) i=X(h1 j2 j1 f0) j=X(f1 i2 i1 h0) ['name'='10_54'],reversible
10_55,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(f3 g0 a3 a2) d=X(h3 e2 e1 b0) e=X(b1 d2 d1 i0) f=X(i3 j0 g1 c0) g=X(c1 f2 h1 h0) h=X(g3 g2 j3 d0) i=X(e3 j2 j1 f0) j=X(f1 i2 i1 h2) ['name'='10_55'],reversible
10_56,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 f0 g3 a2) d=X(b1 g2 g1 h0) e=X(i3 j0 f1 b2) f=X(c1 e2 h1 g0) g=X(f3 d2 d1 c2) h=X(d3 f2 j3 i0) i=X(h3 j2 j1 e0) j=X(e1 i2 i1 h2) ['name'='10_56'],reversible
10_57,a=X(b3 c0 c3 d0) b=X(d3 d2 e3 a0) c=X(a1 e2 f3 a2) d=X(a3 g0 b1 b0) e=X(h3 i0 c1 b2) f=X(i3 j0 g1 c2) g=X(d1 f2 h1 h0) h=X(g3 g2 j3 e0) i=X(e1 j2 j1 f0) j=X(f1 i2 i1 h2) ['name'='10_57'],reversible
10_58,a=X(b3 c0 c3 d0) b=X(e3 e2 f3 a0) c=X(a1 f2 d1 a2) d=X(a3 c2 g3 g2) e=X(g1 h0 b1 b0) f=X(i3 j0 c1 b2) g=X(h1 e0 d3 d2) h=X(e1 g0 j3 i0) i=X(h3 j2 j1 f0) j=X(f1 i2 i1 h2) ['name'='10_58'],reversible
10_59,a=X(b3 b2 c3 d0) b=X(d3 e0 a1 a0) c=X(e3 f0 f3 a2) d=X(a3 g0 g3 b0) e=X(b1 h0 i3 c0) f=X(c1 j0 g1 c2) g=X(d1 f2 h1 d2) h=X(e1 g2 j3 i0) i=X(h3 j2 j1 e2) j=X(f1 i2 i1 h2) ['name'='10_59'],reversible
